County,County Seat,License Plate Prefix,City
Anaconda-Deer Lodge,Anaconda,30,Anaconda
Beaverhead,Dillon,18,Dillon
Big Horn,Hardin,22,Hardin
Blaine,Chinook,24,Chinook
Broadwater,Townsend,43,Townsend
Butte-Silver Bow,Butte,1,Butte
Carbon,Red Lodge,10,Red Lodge
Carter,Ekalaka,42,Ekalaka
Cascade,Great Falls,2,Great Falls
Chouteau,Fort Benton,19,Fort Benton
Custer,Miles City,14,Miles City
Daniels,Scobey,37,Scobey
Dawson,Glendive,16,Glendive
Fallon,Baker,39,Baker
Fergus,Lewistown,8,Lewistown
Flathead,Kalispell,7,Kalispell
Gallatin,Bozeman,6,Bozeman
Garfield,Jordan,50,Jordan
Glacier,Cut Bank,38,Cut Bank
Golden Valley,Ryegate,53,Ryegate
Granite,Philipsburg,46,Philipsburg
Hill,Havre,12,Havre
Jefferson,Boulder,51,Boulder
Judith Basin,Stanford,36,Stanford
Lake,Polson,15,Polson
Lewis & Clark,Helena,5,Helena
Liberty,Chester,48,Chester
Lincoln,Libby,56,Libby
Madison,Virginia City,25,Virginia City
McCone,Circle,41,Circle
Meagher,White Sulphur Springs,47,White Sulphur Springs
Mineral,Superior,54,Superior
Missoula,Missoula,4,Missoula
Musselshell,Roundup,23,Roundup
Park,Livingston,49,Livingston
Petroleum,Winnett,55,Winnett
Phillips,Malta,11,Malta
Pondera,Conrad,26,Conrad
Powder River,Broadus,9,Broadus
Powell,Deer Lodge,28,Deer Lodge
Prairie,Terry,45,Terry
Ravalli,Hamilton,13,Hamilton
Richland,Sidney,27,Sidney
Roosevelt,Wolf Point,17,Wolf Point
Rosebud,Forsyth,29,Forsyth
Sanders,Thompson Falls,35,Thompson Falls
Sheridan,Plentywood,34,Plentywood
Stillwater,Columbus,32,Columbus
Sweet Grass,Big Timber,40,Big Timber
Teton,Choteau,31,Choteau
Toole,Shelby,21,Shelby
Treasure,Hysham,33,Hysham
Valley,Glasgow,20,Glasgow
Wheatland,Harlowton,44,Harlowton
Wibaux,Wibaux,52,Wibaux
Yellowstone,Billings,3,Billings
